datetime,gh,csky_ghi,hour,dayofweek,tdry,wspd,rainfall,consumption
2020-01-01 00:00:00,0.0,0.0,0,2,-0.839999999999975,1.51,0.001754,9043.0
2020-01-01 04:00:00,0.0,0.0,4,2,-3.21999999999997,2.37,0.0,9255.0
2020-01-01 05:00:00,0.0,0.0,5,2,-4.00999999999999,2.29,0.0,10350.0
2020-01-01 06:00:00,0.0,0.0,6,2,-5.09999999999997,2.34,0.0,7739.42
2020-01-01 07:00:00,43.2151,48.5114,7,2,-5.57999999999998,2.53,0.0,7754.58
2020-01-01 08:00:00,192.8064,204.5417,8,2,-3.53999999999996,3.44,0.0,9738.68
2020-01-01 09:00:00,328.8208,345.997,9,2,-2.12,5.15,0.0,7987.780000000001
2020-01-01 11:00:00,465.458,482.1421,11,2,0.870000000000005,6.65,0.0,9624.93
2020-01-01 12:00:00,445.9168,462.3437,12,2,1.47000000000003,6.77,1e-06,4716.77
2020-01-01 13:00:00,364.9601,382.5464,13,2,1.45000000000005,6.37,0.0,6641.58
2020-01-01 14:00:00,235.7793,251.3525,14,2,0.910000000000025,5.43,0.0,7127.62
2020-01-01 16:00:00,1.5302,1.7932,16,2,-2.60999999999996,3.11,0.0,8520.0
2020-01-01 18:00:00,0.0,0.0,18,2,-3.45999999999998,3.23,1e-06,9444.0
2020-01-01 20:00:00,0.0,0.0,20,2,-4.96999999999997,3.47,0.0,8945.0
2020-01-01 21:00:00,0.0,0.0,21,2,-5.58999999999997,3.45,0.0,7826.0
2020-01-01 22:00:00,0.0,0.0,22,2,-6.16999999999996,3.41,0.0,8493.0
2020-01-01 23:00:00,0.0,0.0,23,2,-6.69999999999999,3.37,0.0,8510.0
2020-01-02 00:00:00,0.0,0.0,0,3,-7.19,3.32,0.0,7735.0
2020-01-02 01:00:00,0.0,0.0,1,3,-7.64999999999998,3.14,0.0,8033.0
2020-01-02 02:00:00,0.0,0.0,2,3,-8.02999999999997,2.95,0.0,8255.0
2020-01-02 03:00:00,0.0,0.0,3,3,-8.19999999999999,2.88,0.0,8009.0
2020-01-02 04:00:00,0.0,0.0,4,3,-8.23999999999995,2.84,0.0,7843.0
2020-01-02 05:00:00,0.0,0.0,5,3,-8.19999999999999,3.06,0.0,7651.0
2020-01-02 06:00:00,0.0,0.0,6,3,-8.31,3.16,0.0,9522.35
2020-01-02 08:00:00,180.1722,205.8721,8,3,-5.75,3.84,0.0,10578.64
2020-01-02 10:00:00,423.6613,440.7392,10,3,-1.44999999999999,4.81,0.0,4020.51
2020-01-02 11:00:00,462.7347,480.2586,11,3,0.07000000000005,4.62,0.0,1236.2400000000002
2020-01-02 12:00:00,443.3018,460.5717,12,3,1.03000000000003,4.22,0.0,5382.09
