datetime,gh,csky_ghi,tdry,wspd,pres_hpa,rhum,snowd_m,rainfall,consumption
2020-01-01 00:00:00,0.0,0.0,-0.839999999999975,1.51,905.63,50.91,0.0,0.001754,753.5833333333334
2020-01-01 04:00:00,0.0,0.0,-3.21999999999997,2.37,905.38,65.06,0.0,0.0,771.25
2020-01-01 05:00:00,0.0,0.0,-4.00999999999999,2.29,905.68,72.5,0.0,0.0,862.5
2020-01-01 06:00:00,0.0,0.0,-5.09999999999997,2.34,905.9,81.69,0.0,0.0,644.9516666666666
2020-01-01 07:00:00,43.2151,48.5114,-5.57999999999998,2.53,906.16,88.32,0.0,0.0,646.2149999999999
2020-01-01 08:00:00,192.8064,204.5417,-3.53999999999996,3.44,906.58,82.28,0.0,0.0,811.5566666666667
2020-01-01 09:00:00,328.8208,345.997,-2.12,5.15,906.93,74.55,0.0,0.0,665.6483333333333
2020-01-01 11:00:00,465.458,482.1421,0.870000000000005,6.65,906.7,61.67,0.0,0.0,802.0775000000001
2020-01-01 12:00:00,445.9168,462.3437,1.47000000000003,6.77,906.36,59.21,0.0,1e-06,393.06416666666667
2020-01-01 13:00:00,364.9601,382.5464,1.45000000000005,6.37,906.19,59.72,0.0,0.0,553.465
2020-01-01 14:00:00,235.7793,251.3525,0.910000000000025,5.43,906.09,62.88,0.0,0.0,593.9683333333332
2020-01-01 16:00:00,1.5302,1.7932,-2.60999999999996,3.11,906.64,80.22,0.0,0.0,710.0
2020-01-01 18:00:00,0.0,0.0,-3.45999999999998,3.23,907.91,83.23,0.0,1e-06,787.0
2020-01-01 20:00:00,0.0,0.0,-4.96999999999997,3.47,908.27,88.9,0.0,0.0,745.4166666666666
2020-01-01 21:00:00,0.0,0.0,-5.58999999999997,3.45,908.46,91.18,0.0,0.0,652.1666666666666
2020-01-01 22:00:00,0.0,0.0,-6.16999999999996,3.41,908.54,93.49,0.0,0.0,707.75
2020-01-01 23:00:00,0.0,0.0,-6.69999999999999,3.37,908.58,95.84,0.0,0.0,709.1666666666666
2020-01-02 00:00:00,0.0,0.0,-7.19,3.32,908.74,98.31,0.0,0.0,644.5833333333334
2020-01-02 01:00:00,0.0,0.0,-7.64999999999998,3.14,908.92,100.53,0.0,0.0,669.4166666666666
2020-01-02 02:00:00,0.0,0.0,-8.02999999999997,2.95,908.88,101.76,0.0,0.0,687.9166666666666
2020-01-02 03:00:00,0.0,0.0,-8.19999999999999,2.88,908.77,101.1,0.0,0.0,667.4166666666666
2020-01-02 04:00:00,0.0,0.0,-8.23999999999995,2.84,908.75,99.29,0.0,0.0,653.5833333333334
2020-01-02 05:00:00,0.0,0.0,-8.19999999999999,3.06,909.0,96.9,0.0,0.0,637.5833333333334
2020-01-02 06:00:00,0.0,0.0,-8.31,3.16,909.26,96.01,0.0,0.0,793.5291666666666
2020-01-02 08:00:00,180.1722,205.8721,-5.75,3.84,909.68,82.97,0.0,0.0,881.5533333333333
2020-01-02 10:00:00,423.6613,440.7392,-1.44999999999999,4.81,909.91,61.92,0.0,0.0,335.0425
2020-01-02 11:00:00,462.7347,480.2586,0.07000000000005,4.62,909.4,54.93,0.0,0.0,103.02000000000001
2020-01-02 12:00:00,443.3018,460.5717,1.03000000000003,4.22,908.91,50.82,0.0,0.0,448.5075
2020-01-02 13:00:00,364.2836,382.398,1.29000000000002,3.76,908.67,50.33,0.0,1e-06,627.7225
2020-01-02 14:00:00,237.9685,253.7533,0.879999999999995,3.12,908.67,54.85,0.0,0.0,262.49666666666667
2020-01-02 15:00:00,90.4668,95.6422,-0.810000000000002,1.79,908.6,71.14,0.0,0.0,174.48416666666665
2020-01-02 16:00:00,1.7729,2.0955,-2.81999999999999,1.83,908.65,74.52,0.0,0.0,183.08333333333334
2020-01-02 17:00:00,0.0,0.0,-3.40999999999997,1.89,908.77,76.35,0.0,0.0,259.4166666666667
2020-01-02 18:00:00,0.0,0.0,-4.21999999999997,1.97,908.91,77.74,0.0,0.0,293.3333333333333
2020-01-02 19:00:00,0.0,0.0,-5.04999999999995,2.05,908.93,79.29,0.0,0.0,320.9166666666667
2020-01-02 20:00:00,0.0,0.0,-5.73999999999995,2.09,909.02,81.02,0.0,0.0,302.8333333333333
2020-01-02 21:00:00,0.0,0.0,-6.23999999999995,2.07,908.99,82.8,0.0,0.0,299.8333333333333
2020-01-02 22:00:00,0.0,0.0,-6.53999999999996,1.96,908.88,83.91,0.0,0.0,406.9166666666667
2020-01-02 23:00:00,0.0,0.0,-6.67999999999995,1.82,908.68,83.39,0.0,0.0,442.0833333333333
2020-01-03 00:00:00,0.0,0.0,-6.63999999999999,1.67,908.44,81.04,0.0,0.0,444.25
2020-01-03 01:00:00,0.0,0.0,-6.48999999999995,1.56,908.3,77.66,0.0,0.0,427.6666666666667
2020-01-03 02:00:00,0.0,0.0,-6.29999999999995,1.48,907.87,74.0,0.0,0.0,801.25
2020-01-03 03:00:00,0.0,0.0,-6.08999999999997,1.37,907.36,70.13,0.0,0.0,534.1666666666666
2020-01-03 04:00:00,0.0,0.0,-5.91999999999996,1.33,907.02,66.7,0.0,0.0,269.4166666666667
2020-01-03 05:00:00,0.0,0.0,-5.81,1.33,906.95,64.11,0.0,0.0,248.66666666666666
